amount,hour_of_day,merchant_risk,device_trusted,international,card_present,transactions_last_24h,account_age_days,fraud
581.36,8,low,Yes,No,Yes,1,1699,0
90.72,9,high,Yes,Yes,Yes,5,1203,1
58.58,19,medium,Yes,No,No,2,585,0
109.8,20,medium,Yes,No,No,5,962,0
58.58,5,high,No,Yes,Yes,2,1945,1
96.98,17,medium,Yes,No,Yes,3,2193,0
27.88,4,medium,Yes,No,Yes,1,1583,0
208.96,17,medium,Yes,No,No,2,1070,1
436.53,6,low,Yes,No,No,5,553,1
136.29,1,high,No,No,Yes,2,866,1
191.68,5,low,No,No,Yes,6,2108,1
212.83,8,low,Yes,No,Yes,7,644,1
390.88,9,medium,Yes,No,Yes,3,1692,1
131.39,6,medium,Yes,Yes,Yes,2,283,0
26.63,2,medium,Yes,No,Yes,5,2388,0
136.38,17,high,Yes,No,Yes,4,2250,0
576.82,12,medium,No,No,Yes,5,1774,1
288.86,2,low,Yes,Yes,Yes,3,41,1
60.09,19,low,Yes,No,Yes,5,909,0
245.58,20,medium,No,No,Yes,4,30,0
172.8,5,medium,No,Yes,Yes,4,374,1
66.46,2,high,No,No,No,1,271,1
164.76,8,low,Yes,No,Yes,1,1564,0
127.15,8,low,Yes,Yes,No,4,613,1
619.61,23,low,Yes,No,Yes,8,512,1
14.5,20,medium,Yes,Yes,Yes,7,1763,1
75.16,13,medium,Yes,Yes,No,2,398,1
102.02,16,medium,No,No,No,4,586,0
160.76,11,high,Yes,Yes,Yes,2,316,1
70.41,8,high,Yes,No,Yes,2,590,0
165.86,9,low,No,Yes,Yes,4,1881,0
314.23,20,low,Yes,No,Yes,1,1206,0
190.42,11,medium,No,No,No,1,538,0
625.42,19,high,Yes,Yes,Yes,2,1268,1
53.09,22,low,No,No,Yes,3,1398,0
203.8,5,medium,Yes,No,Yes,4,798,0
122.75,4,medium,Yes,Yes,No,4,996,1
290.54,10,medium,Yes,Yes,Yes,2,1930,1
71.62,14,high,Yes,No,Yes,7,2392,0
194.88,19,low,Yes,Yes,Yes,1,349,1
445.81,17,high,Yes,No,Yes,4,1232,1
183.11,8,medium,Yes,Yes,Yes,7,780,1
96.66,16,high,No,No,Yes,2,685,0
166.07,20,low,Yes,No,Yes,2,1982,0
720.75,3,medium,No,No,No,4,1813,1
168.11,17,low,Yes,No,Yes,4,1242,0
84.02,17,medium,Yes,No,No,2,37,0
187.55,8,high,No,No,Yes,2,454,0
260.35,23,low,No,Yes,No,1,690,1
84.89,19,high,Yes,No,Yes,5,2084,0
281.71,11,low,Yes,Yes,Yes,2,1139,0
70.38,8,low,Yes,No,Yes,0,1441,0
431.32,9,medium,Yes,No,Yes,3,789,1
99.39,16,medium,Yes,Yes,Yes,4,367,0
392.15,23,high,Yes,No,No,0,1545,1
106.86,6,medium,No,Yes,Yes,2,472,0
270.1,18,high,No,No,Yes,5,878,1
102.46,7,medium,Yes,Yes,No,2,1491,1
204.76,18,high,Yes,No,Yes,3,391,0
189.47,10,high,No,No,No,5,1763,1
238.23,3,low,Yes,No,Yes,0,2255,0
253.19,3,high,No,No,Yes,6,43,1
81.33,4,medium,Yes,No,Yes,1,1090,0
124.71,19,low,No,No,Yes,5,587,0
108.52,21,medium,Yes,No,No,2,560,0
259.32,7,low,No,Yes,No,4,2168,1
529.51,7,low,No,No,No,2,1798,0
245.48,17,low,Yes,Yes,Yes,6,1741,0
39.59,9,low,Yes,No,No,1,2036,0
245.71,11,medium,Yes,No,No,3,581,0
171.03,3,high,Yes,Yes,Yes,5,162,1
217.62,20,low,No,No,No,1,1315,1
202.93,9,medium,Yes,No,Yes,2,846,0
39.06,8,medium,Yes,No,No,3,214,0
58.63,9,low,Yes,Yes,No,3,619,0
124.0,10,medium,No,No,Yes,2,494,0
192.0,0,medium,Yes,No,No,3,2068,0
205.46,13,medium,No,No,Yes,3,2394,0
92.12,12,low,Yes,No,No,4,531,0
182.55,18,low,No,No,No,4,417,0
106.54,22,medium,No,No,Yes,5,1313,0
219.87,21,medium,Yes,No,Yes,4,1075,1
449.61,9,medium,Yes,No,Yes,5,1909,0
234.15,12,medium,Yes,No,No,4,440,0
470.78,13,low,Yes,No,Yes,4,246,0
65.2,13,medium,Yes,No,Yes,3,2141,0
23.31,15,medium,Yes,No,Yes,5,61,1
171.92,12,low,No,Yes,Yes,2,2098,1
338.38,5,medium,Yes,No,No,4,422,1
204.18,6,medium,No,No,Yes,4,2067,0
235.68,0,medium,No,No,Yes,3,1598,1
261.18,9,low,No,No,Yes,2,556,0
233.27,19,low,Yes,No,Yes,1,1076,0
71.04,6,low,Yes,No,No,5,1133,0
118.87,17,low,Yes,No,No,1,1191,0
79.1,18,high,Yes,Yes,No,3,1752,1
17.34,15,high,Yes,No,No,8,1715,0
99.8,10,low,No,No,Yes,3,2382,0
279.04,22,high,No,Yes,No,1,499,1
143.87,21,low,No,Yes,Yes,4,1421,0
115.28,18,low,Yes,No,No,3,2274,0
209.02,13,low,No,No,Yes,4,1546,0
126.02,7,medium,Yes,No,Yes,4,613,0
84.27,9,low,Yes,No,Yes,3,2343,0
8.81,5,low,Yes,Yes,No,4,2118,1
176.23,6,medium,Yes,No,Yes,6,744,0
111.2,13,low,Yes,No,No,7,1100,0
96.11,22,low,Yes,Yes,Yes,3,881,0
141.35,0,low,Yes,No,Yes,3,2384,0
129.48,2,low,No,No,No,3,911,0
228.93,5,high,Yes,No,Yes,3,309,1
193.64,1,low,Yes,Yes,Yes,5,93,1
322.11,1,low,Yes,No,Yes,5,710,1
556.67,22,low,Yes,Yes,No,3,1946,1
106.51,17,high,Yes,Yes,Yes,2,2120,1
142.41,15,low,No,No,Yes,7,1344,0
268.06,22,medium,No,Yes,No,6,1832,1
272.26,10,medium,No,Yes,No,4,2395,1
61.64,5,low,Yes,Yes,Yes,1,455,0
93.73,15,medium,Yes,No,No,3,762,0
127.36,17,medium,No,Yes,No,4,1875,1
70.03,2,medium,No,No,Yes,3,988,1
193.7,6,medium,Yes,Yes,No,2,395,0
72.09,19,medium,Yes,No,Yes,2,501,0
142.82,4,high,Yes,No,Yes,5,1672,1
218.19,17,low,Yes,No,No,2,1558,0
137.12,8,high,Yes,No,Yes,5,2218,0
133.11,8,medium,Yes,Yes,No,2,1746,1
129.88,0,medium,Yes,No,Yes,2,1727,0
100.77,1,low,Yes,Yes,Yes,5,255,0
236.89,18,medium,Yes,Yes,Yes,3,2042,0
400.54,23,low,Yes,No,Yes,7,1688,1
234.29,14,high,No,No,Yes,2,1964,1
85.38,10,medium,Yes,Yes,No,2,1903,0
84.45,13,medium,No,Yes,No,0,1718,1
687.26,20,high,Yes,No,Yes,4,2254,1
317.97,20,high,Yes,No,Yes,3,1811,1
256.04,23,medium,No,Yes,Yes,4,864,1
9.18,8,high,Yes,No,Yes,1,1405,0
402.97,12,medium,Yes,No,No,5,1342,0
545.98,19,medium,No,Yes,Yes,3,763,1
551.05,10,high,Yes,No,Yes,3,91,0
54.63,17,low,Yes,No,Yes,3,1724,0
502.34,5,low,No,No,Yes,7,2378,1
207.41,12,medium,Yes,Yes,No,1,861,1
17.9,11,low,Yes,No,Yes,3,319,0
556.87,11,low,No,No,No,4,411,1
239.38,21,medium,Yes,No,No,4,1483,0
139.48,13,high,No,Yes,Yes,2,32,1
307.74,23,medium,No,No,Yes,3,2097,1
123.81,15,low,No,Yes,Yes,8,243,1
115.27,0,low,Yes,Yes,No,4,2205,0
590.16,1,high,No,Yes,Yes,3,1742,1
285.25,6,high,Yes,No,Yes,7,1912,1
338.9,5,low,Yes,No,Yes,2,445,0
121.79,10,medium,Yes,No,Yes,4,893,1
150.11,20,high,No,No,Yes,9,201,1
359.71,17,high,Yes,No,Yes,2,1096,0
38.51,17,high,Yes,No,Yes,1,1545,0
305.75,9,low,Yes,Yes,No,7,132,1
104.42,22,medium,Yes,No,No,2,1403,0
126.88,12,medium,No,Yes,No,4,1906,1
28.87,22,low,No,No,Yes,2,2104,0
419.1,7,low,Yes,Yes,Yes,1,158,1
420.66,1,medium,Yes,No,Yes,5,1092,1
566.25,5,low,Yes,No,Yes,3,589,0
109.39,2,medium,Yes,No,No,5,778,1
213.67,1,medium,Yes,Yes,Yes,3,604,1
77.75,12,high,No,No,No,5,60,1
296.22,6,medium,Yes,No,Yes,3,2102,0
83.54,13,low,Yes,No,No,5,2321,0
61.25,19,medium,Yes,No,Yes,3,933,0
358.43,7,medium,Yes,No,Yes,3,1390,0
278.57,22,low,Yes,No,Yes,5,2258,0
154.26,17,high,Yes,No,No,6,662,1
45.0,22,medium,Yes,No,No,4,2384,0
376.19,14,low,No,No,Yes,3,447,1
271.83,4,low,No,Yes,Yes,1,1252,1
374.53,4,medium,Yes,No,Yes,2,330,1
14.38,9,low,Yes,Yes,Yes,2,650,0
256.44,4,high,Yes,No,Yes,1,1915,0
140.19,20,low,Yes,No,Yes,2,1919,0
142.99,18,high,Yes,No,Yes,5,1244,0
108.05,2,high,Yes,Yes,No,3,812,1
314.06,22,high,Yes,Yes,Yes,7,1358,1
207.38,7,low,Yes,No,No,3,428,0
44.42,17,low,Yes,Yes,Yes,1,225,0
646.9,23,medium,Yes,No,Yes,2,1758,0
141.91,7,medium,Yes,No,No,4,1069,0
208.01,9,low,No,No,Yes,5,1251,0
286.81,0,high,No,No,Yes,3,1742,1
137.37,2,medium,Yes,Yes,Yes,5,1198,1
26.04,13,medium,Yes,No,Yes,3,1303,0
98.04,3,high,No,Yes,No,4,2289,1
53.69,13,high,Yes,Yes,No,5,1385,1
181.26,3,high,Yes,No,Yes,2,1414,1
980.01,17,low,Yes,No,Yes,4,109,0
308.01,1,medium,Yes,No,No,4,274,0
251.91,12,high,Yes,Yes,Yes,0,1340,1
212.02,14,low,No,No,No,3,1905,0
72.38,23,low,Yes,No,No,2,352,1
442.44,2,medium,Yes,No,Yes,2,2378,0
487.72,3,high,Yes,Yes,No,6,848,1
672.97,1,low,No,No,No,2,1856,1
201.43,15,high,No,No,Yes,4,2301,0
391.33,1,high,No,Yes,Yes,3,984,1
278.1,3,low,Yes,No,Yes,2,1900,0
124.42,7,low,Yes,No,Yes,2,1751,0
256.29,0,low,Yes,No,Yes,3,593,0
119.36,8,medium,Yes,No,No,6,424,0
36.25,22,low,No,No,Yes,3,2209,0
310.41,12,high,Yes,No,No,3,2142,1
191.37,5,medium,Yes,Yes,Yes,7,106,1
88.45,18,low,Yes,No,Yes,2,148,0
300.86,1,high,No,No,Yes,6,490,1
287.6,13,low,Yes,No,Yes,2,1873,0
122.74,20,medium,Yes,No,Yes,5,2282,0
16.21,1,high,No,No,No,2,1405,1
98.45,4,high,Yes,No,No,2,2368,1
103.72,20,low,Yes,Yes,No,4,1993,0
232.39,15,low,No,No,Yes,2,1758,0
347.19,23,medium,Yes,No,No,2,1301,0
106.87,14,low,Yes,No,Yes,1,503,0
239.75,20,medium,Yes,No,No,3,499,0
372.86,8,low,Yes,No,Yes,5,1854,0
155.56,10,low,Yes,No,No,5,1928,0
203.12,1,medium,No,No,No,3,2206,1
53.44,16,medium,Yes,No,No,4,133,0
209.47,23,high,Yes,Yes,Yes,5,1571,1
165.93,0,medium,No,Yes,Yes,4,1660,0
332.19,0,low,Yes,No,No,4,1141,1
120.73,2,high,No,No,Yes,4,399,1
265.98,17,high,Yes,Yes,Yes,5,1526,1
66.86,4,high,Yes,No,Yes,4,1855,0
155.82,9,medium,Yes,No,Yes,3,931,0
296.84,21,low,Yes,No,Yes,3,522,0
70.58,15,low,Yes,No,Yes,1,1595,0
273.89,14,high,Yes,No,Yes,3,1797,1
257.97,13,low,Yes,Yes,No,5,667,1
252.93,11,medium,Yes,No,Yes,2,985,0
476.18,18,high,No,No,Yes,5,2198,1
111.76,4,medium,No,No,No,5,859,1
258.59,0,low,No,Yes,Yes,2,1697,1
465.22,9,high,No,Yes,No,1,556,1
487.93,8,low,Yes,No,Yes,4,367,1
178.17,22,high,Yes,No,Yes,4,262,0
92.01,1,low,Yes,Yes,No,2,379,1
47.66,7,medium,No,No,No,5,725,0
206.7,7,low,Yes,No,Yes,3,1642,0
165.97,8,medium,Yes,No,Yes,3,1919,0
299.41,21,high,Yes,No,No,8,1020,1
128.36,9,medium,No,Yes,No,0,2062,1
88.21,22,medium,No,No,No,3,749,1
192.04,1,medium,No,No,Yes,1,1373,1
121.75,11,high,No,No,Yes,7,2033,1
45.77,17,low,Yes,No,Yes,0,2032,0
202.35,11,high,Yes,No,Yes,6,1018,1
403.59,21,low,Yes,No,Yes,8,1797,1
68.93,23,high,No,No,No,3,606,1
89.35,11,medium,Yes,Yes,Yes,2,67,1
52.24,8,low,Yes,Yes,Yes,4,1732,0
17.65,8,medium,No,Yes,No,5,1689,1
542.73,8,medium,Yes,No,No,5,2188,1
14.85,8,high,Yes,No,No,2,1720,1
168.42,19,low,No,No,Yes,4,727,0
168.87,6,low,Yes,No,No,4,462,0
153.94,12,high,Yes,Yes,Yes,6,1359,0
226.57,8,low,No,Yes,Yes,2,1010,1
150.99,2,medium,Yes,No,Yes,3,1782,0
105.48,6,low,Yes,No,No,4,1464,0
42.38,9,high,Yes,No,No,3,1777,0
319.28,21,high,Yes,No,No,3,1338,1
33.69,2,medium,Yes,Yes,Yes,2,1363,0
289.4,17,low,No,No,No,4,2375,0
70.54,12,low,No,No,Yes,1,815,0
327.63,18,high,Yes,No,Yes,3,393,1
835.62,0,low,Yes,Yes,No,1,873,1
44.56,4,high,Yes,No,No,2,1860,0
186.24,10,high,Yes,No,Yes,4,498,0
283.07,21,low,No,No,No,4,423,0
49.32,2,medium,Yes,No,Yes,5,1724,0
61.06,19,low,Yes,No,Yes,5,1205,0
240.83,0,medium,Yes,No,Yes,1,1019,0
150.12,20,medium,No,No,No,6,1806,1
131.51,16,medium,Yes,No,Yes,2,1489,0
130.33,3,medium,No,Yes,Yes,1,69,1
179.67,4,low,No,No,Yes,0,563,0
98.12,14,medium,No,No,Yes,3,1523,0
112.49,4,low,Yes,No,No,1,1759,0
300.89,15,low,No,No,Yes,2,463,0
157.88,1,low,Yes,No,Yes,3,1516,0
285.16,9,low,Yes,No,Yes,8,1731,0
200.28,18,medium,Yes,Yes,Yes,5,622,1
20.29,15,low,No,No,Yes,7,431,1
276.71,13,medium,Yes,No,Yes,4,772,0
156.33,18,medium,No,No,Yes,3,1413,0
423.83,18,high,No,No,No,3,1941,1
146.92,16,medium,Yes,No,Yes,7,1464,0
312.01,4,low,Yes,Yes,Yes,2,262,0
49.98,11,low,No,Yes,Yes,2,1901,0
241.43,1,low,Yes,No,No,4,1384,0
558.88,17,low,No,Yes,No,6,896,1
208.96,15,medium,Yes,No,Yes,4,1582,0
133.75,16,medium,Yes,No,No,3,1668,0
499.05,15,high,Yes,No,Yes,2,1835,1
23.22,13,low,Yes,No,Yes,3,634,0
255.5,10,low,Yes,Yes,No,4,2015,1
389.3,18,low,Yes,No,Yes,3,1331,0
146.31,1,low,No,No,No,5,2208,0
217.92,22,medium,No,No,No,2,285,1
106.56,19,low,Yes,No,No,3,1126,0
262.02,16,high,No,No,Yes,6,702,1
164.06,16,high,Yes,No,Yes,3,824,0
97.48,1,high,Yes,No,Yes,1,1640,0
388.24,14,medium,No,No,No,0,1751,1
165.88,3,medium,No,No,No,3,333,0
133.85,8,low,No,Yes,Yes,3,1055,0
341.34,12,medium,No,No,No,3,259,1
142.89,14,low,Yes,Yes,Yes,5,1622,0
167.52,3,low,No,No,No,1,1844,0
134.66,13,low,Yes,Yes,Yes,4,1382,0
155.46,20,medium,Yes,Yes,No,4,389,0
209.16,19,low,Yes,No,No,2,1834,0
121.33,1,low,No,No,No,1,839,0
256.96,9,high,Yes,Yes,No,2,185,1
212.85,13,low,Yes,No,Yes,9,902,1
66.78,16,medium,Yes,No,No,3,1558,0
104.12,5,medium,Yes,No,No,3,570,0
131.38,0,low,Yes,No,No,3,1859,0
122.07,18,medium,Yes,No,No,4,1379,0
75.46,19,medium,No,No,No,6,769,1
263.79,14,medium,No,No,No,3,1763,0
48.88,5,low,Yes,No,No,5,1736,0
245.64,17,medium,No,No,No,1,915,1
310.25,18,high,No,No,Yes,3,1180,1
71.77,21,low,Yes,No,Yes,4,1524,0
252.28,12,low,No,No,No,5,2168,1
219.84,1,medium,Yes,Yes,Yes,4,165,1
11.86,22,high,Yes,No,Yes,3,954,1
63.4,1,medium,Yes,No,No,5,1685,1
131.44,20,high,Yes,No,Yes,2,580,0
481.66,9,medium,No,No,Yes,2,1134,1
204.07,23,high,No,No,No,6,1079,1
622.34,0,medium,No,No,Yes,5,2019,0
202.5,12,high,Yes,No,Yes,4,1415,0
171.21,7,medium,No,No,No,5,687,1
124.75,16,low,Yes,Yes,Yes,2,1535,0
227.94,4,medium,No,No,Yes,3,2058,1
211.99,6,high,Yes,No,Yes,3,325,0
77.95,4,low,Yes,No,Yes,6,364,0
112.97,13,low,Yes,Yes,No,2,688,0
139.73,10,medium,Yes,No,Yes,4,1720,0
96.25,6,high,No,No,No,4,1912,0
237.38,21,high,Yes,Yes,No,6,882,0
93.24,19,medium,Yes,No,No,8,1521,0
65.89,18,high,Yes,No,No,5,965,1
93.19,19,low,Yes,Yes,Yes,3,810,0
332.21,23,medium,Yes,No,Yes,6,742,1
172.5,11,medium,Yes,Yes,No,4,2180,1
6.44,8,low,Yes,No,No,4,2219,0
154.85,1,high,No,No,No,3,196,1
70.63,23,low,No,Yes,Yes,3,1804,1
34.75,3,high,Yes,No,Yes,4,285,1
91.02,11,medium,Yes,No,Yes,7,2176,0
60.5,23,low,No,Yes,No,7,577,1
134.79,11,low,No,No,Yes,2,620,0
415.49,23,medium,No,No,Yes,2,885,0
74.25,2,low,No,No,Yes,5,1222,0
75.16,20,medium,No,No,Yes,2,306,0
478.34,1,medium,No,No,Yes,2,347,1
355.76,20,medium,Yes,Yes,No,3,815,1
141.93,22,high,Yes,No,Yes,3,1059,0
298.02,23,medium,No,No,Yes,5,1250,1
131.75,14,high,Yes,Yes,Yes,2,1482,1
303.44,12,low,Yes,No,No,5,2130,0
341.81,11,medium,Yes,No,Yes,5,368,1
226.75,18,low,Yes,No,Yes,4,1090,0
212.77,0,high,No,Yes,No,2,977,1
117.0,4,low,No,Yes,Yes,3,1117,0
357.88,6,low,Yes,No,Yes,2,354,0
172.63,12,medium,Yes,No,Yes,3,1036,0
323.18,8,low,Yes,No,No,4,1849,1
744.33,2,medium,Yes,No,No,3,699,0
89.09,23,low,Yes,No,Yes,4,229,0
351.66,3,low,Yes,No,Yes,0,2291,0
236.96,17,medium,Yes,No,Yes,1,1944,0
165.95,3,low,Yes,No,Yes,1,226,0
560.44,4,low,No,No,No,5,92,1
153.93,4,medium,No,No,No,2,1950,1
254.27,19,medium,No,No,No,2,1445,0
130.48,23,low,Yes,Yes,No,5,261,1
229.32,21,medium,Yes,No,No,3,2193,1
147.77,2,low,Yes,No,Yes,2,2375,0
188.1,21,low,Yes,No,No,7,1834,1
233.23,17,medium,Yes,No,No,4,1741,0
128.82,14,low,No,No,No,5,806,1
